m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu,cu_pred
0.2,10,0.04,-2.502989157,-0.9963301059999999,2.3025850930000002,0.0,4.6051701860000005,-1.609437912,-1.6686808309999999,4.6051701860000005,0.98182225
0.1,5,0.04,-2.7063516439999997,-1.8157735119999998,0.22314355100000002,0.0,4.6051701860000005,0.0,-1.6686808309999999,4.6051701860000005,0.9527082
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0.0,4.6051701860000005,-1.609437912,-0.97553365,4.6051701860000005,1.006721
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0.0,4.6051701860000005,-2.3025850930000002,-0.97553365,4.6051701860000005,1.0057924
0.1,10,0.04,-2.873160721,-1.4432118630000002,1.609437912,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,1.0339521
0.2,10,0.08,-3.243680944,-1.820554084,2.3025850930000002,0.0,4.6051701860000005,-2.3025850930000002,-0.97553365,4.6051701860000005,0.99633354
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0.0,4.6051701860000005,-1.609437912,-0.97553365,4.6051701860000005,1.006721
0.5,5,0.04,-1.7610750869999998,-0.817377958,1.832581464,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,1.0568874
0.5,10,0.08,-2.596687733,-1.138734528,3.218875825,0.0,4.6051701860000005,-2.3025850930000002,-0.97553365,4.6051701860000005,1.0057924
0.2,10,0.04,-2.23792158,-0.779934583,2.3025850930000002,0.0,4.6051701860000005,-2.3025850930000002,-1.6686808309999999,4.6051701860000005,0.9998605
0.5,10,0.08,-2.864002503,-1.3632343,3.218875825,0.0,4.6051701860000005,-1.609437912,-0.97553365,4.6051701860000005,1.006721
0.2,5,0.04,-2.316481198,-1.3839131980000001,0.916290732,0.0,6.214608097999999,0.0,-0.570068542,6.214608097999999,0.94437665
0.5,5,0.04,-2.786444269,-1.7809144890000002,1.832581464,1.609437912,6.214608097999999,0.0,-0.059242918,4.6051701860000005,4.023006
0.2,20,0.08,-4.5208290380000005,-2.197288579,3.688879454,1.609437912,6.214608097999999,-1.609437912,0.633904262,4.6051701860000005,4.9828224
0.5,10,0.08,-2.897879873,-1.3556953230000002,3.218875825,0.0,6.214608097999999,-2.3025850930000002,0.123078638,6.214608097999999,1.006721
0.5,5,0.04,-3.48675527,-2.442215044,1.832581464,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,5.564662
0.2,10,0.04,-3.7567301210000004,-2.093102428,2.3025850930000002,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,7.1334696
0.2,15,0.04,-3.6840909369999997,-1.6744245340000001,3.113515309,1.609437912,6.214608097999999,-1.609437912,-0.059242918,4.6051701860000005,5.6834135
0.1,5,0.04,-4.054739308,-2.9178827380000003,0.22314355100000002,0.0,6.214608097999999,-1.609437912,-0.570068542,6.214608097999999,1.0247513
0.2,20,0.04,-3.186408635,-0.9921679609999999,3.688879454,1.609437912,6.214608097999999,-2.3025850930000002,-0.059242918,4.6051701860000005,5.0140214
0.5,15,0.08,-3.702572781,-1.7012462309999998,4.0298060410000005,1.609437912,6.214608097999999,-2.3025850930000002,0.633904262,4.6051701860000005,4.07104
0.5,20,0.08,-3.50789212,-1.3203568190000001,4.6051701860000005,1.609437912,6.214608097999999,-2.3025850930000002,0.633904262,4.6051701860000005,6.6810646
0.2,10,0.04,-3.917035547,-2.237659147,2.3025850930000002,1.609437912,6.907755279,-2.3025850930000002,0.34622219,5.298317367,5.661991
0.5,5,0.04,-3.942482213,-2.813744106,1.832581464,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367,5.138563
0.1,15,0.04,-5.035953102,-2.825415824,2.420368129,2.3025850930000002,6.907755279,-1.609437912,0.633904262,4.6051701860000005,10.120799
0.2,15,0.04,-4.052435159,-2.000201618,3.113515309,2.3025850930000002,6.907755279,-2.3025850930000002,0.633904262,4.6051701860000005,8.785954
0.5,15,0.08,-3.8584822389999998,-1.8165112840000002,4.0298060410000005,1.609437912,6.907755279,-2.3025850930000002,1.03936937,5.298317367,4.1208143
0.2,20,0.08,-4.297685486000001,-2.05635021,3.688879454,1.609437912,6.907755279,-2.3025850930000002,1.03936937,5.298317367,4.921672
0.1,20,0.04,-3.986746552,-1.760051522,2.995732274,1.609437912,6.907755279,-2.3025850930000002,0.34622219,5.298317367,5.2071733
0.5,10,0.04,-3.597942459,-1.9139542219999999,3.218875825,2.3025850930000002,6.907755279,-2.3025850930000002,0.633904262,4.6051701860000005,10.335
0.5,10,0.04,-3.464776363,-1.787942762,3.218875825,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367,6.6858115
0.5,20,0.04,-2.94541946,-0.6496127079999999,4.6051701860000005,2.3025850930000002,6.907755279,-2.3025850930000002,0.633904262,4.6051701860000005,10.486271
0.5,20,0.04,-2.94541946,-0.6496127079999999,4.6051701860000005,2.3025850930000002,6.907755279,-2.3025850930000002,0.633904262,4.6051701860000005,10.486271
0.2,15,0.04,-4.194385916,-2.112130036,3.113515309,3.218875825,7.824046011,0.0,1.5501949940000002,4.6051701860000005,14.646763
0.5,15,0.08,-3.993233061,-1.925025754,4.0298060410000005,1.609437912,7.824046011,-2.3025850930000002,1.732516551,6.214608097999999,4.330986
0.5,10,0.04,-4.688551795,-2.8481401969999998,3.218875825,3.218875825,7.824046011,-1.609437912,1.5501949940000002,4.6051701860000005,24.085754
0.1,10,0.04,-4.601178165,-2.827644877,1.609437912,1.609437912,7.824046011,-2.3025850930000002,1.03936937,6.214608097999999,4.975572
0.1,15,0.04,-3.615628992,-1.6707602780000002,2.420368129,1.609437912,7.824046011,0.0,1.03936937,6.214608097999999,5.1674957
0.1,15,0.04,-3.615628992,-1.6707602780000002,2.420368129,1.609437912,7.824046011,0.0,1.03936937,6.214608097999999,5.1674957
0.5,10,0.04,-3.302257434,-1.6185997540000001,3.218875825,1.609437912,7.824046011,-2.3025850930000002,1.03936937,6.214608097999999,5.869412
0.5,10,0.04,-4.688551795,-2.8481401969999998,3.218875825,3.218875825,7.824046011,-1.609437912,1.5501949940000002,4.6051701860000005,24.085754
0.2,15,0.04,-4.876978909,-2.7118775160000004,3.113515309,3.218875825,7.824046011,-2.3025850930000002,1.5501949940000002,4.6051701860000005,24.224669
0.5,5,0.04,-3.711534145,-2.63839355,1.832581464,1.609437912,7.824046011,-2.3025850930000002,1.03936937,6.214608097999999,5.2273884
0.5,15,0.08,-4.361440001,-2.187757532,4.0298060410000005,1.609437912,7.824046011,-1.609437912,1.732516551,6.214608097999999,5.783933
0.5,10,0.08,-3.061872076,-1.4979323169999998,3.218875825,0.0,5.298317367,-1.609437912,-0.570068542,5.298317367,1.0216832
0.5,15,0.08,-2.815078774,-1.017172404,4.0298060410000005,0.0,5.298317367,-1.609437912,-0.570068542,5.298317367,1.1131759
